year,hhtyp,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Couple with children,East,A Bit Too Large,0.04297,52,1047,0.03068,0.05526
2000,Multi-generational household,West,Just Right,0.76552,105,105,0.68409,0.84694
2000,Other Combinations,West,Just Right,0.79509,94,94,0.71305,0.87713
2001,Single-person household,West,A Bit Too Small,0.11848,257,2181,0.10491,0.13205
2001,Single-person household,West,Just Right,0.73129,1605,2181,0.71269,0.74990
2001,Single-person household,West,A Bit Too Large,0.12218,285,2181,0.10843,0.13593
2001,Single-person household,West,Much Too Large,0.01498,34,2181,0.00988,0.02008
2001,Single-person household,East,A Bit Too Small,0.11217,76,692,0.08864,0.13570
2001,Single-person household,East,Just Right,0.76338,532,692,0.73169,0.79507
2001,Single-person household,East,A Bit Too Large,0.11139,84,692,0.08793,0.13485
2001,Couple without children,West,A Bit Too Small,0.09831,263,2602,0.08686,0.10975
2001,Couple without children,West,Just Right,0.75763,2014,2602,0.74116,0.77410
2001,Couple without children,West,A Bit Too Large,0.12538,325,2602,0.11265,0.13811
2001,Couple without children,East,A Bit Too Small,0.08153,80,906,0.06370,0.09936
2001,Couple without children,East,Just Right,0.79073,730,906,0.76422,0.81723
2001,Couple without children,East,A Bit Too Large,0.11247,96,906,0.09188,0.13305
2001,Single parent,West,A Bit Too Small,0.17569,88,494,0.14210,0.20928
2001,Single parent,West,Just Right,0.70456,363,494,0.66429,0.74483
2001,Single parent,West,A Bit Too Large,0.08228,43,494,0.05803,0.10654
2001,Single parent,East,A Bit Too Small,0.23238,40,172,0.16908,0.29568
2001,Single parent,East,Just Right,0.65269,132,172,0.58133,0.72405
2001,Couple with children,West,Much Too Small,0.03391,108,3184,0.02762,0.04019
2001,Couple with children,West,A Bit Too Small,0.19609,601,3184,0.18230,0.20988
2001,Couple with children,West,Just Right,0.71773,2322,3184,0.70209,0.73336
2001,Couple with children,West,A Bit Too Large,0.05002,153,3184,0.04244,0.05759
2001,Couple with children,East,A Bit Too Small,0.15684,162,947,0.13367,0.18002
2001,Couple with children,East,Just Right,0.76243,740,947,0.73531,0.78955
2001,Couple with children,East,A Bit Too Large,0.05378,45,947,0.03941,0.06816
2001,Multi-generational household,West,Just Right,0.82431,102,102,0.75009,0.89853
2001,Other Combinations,West,Just Right,0.75289,75,75,0.65462,0.85117
2002,Single-person household,West,Much Too Small,0.02072,47,2212,0.01478,0.02666
2002,Single-person household,West,A Bit Too Small,0.11321,248,2212,0.10000,0.12641
2002,Single-person household,West,Just Right,0.70705,1549,2212,0.68808,0.72602
2002,Single-person household,West,A Bit Too Large,0.13652,308,2212,0.12221,0.15083
2002,Single-person household,West,Much Too Large,0.02250,60,2212,0.01632,0.02868
2002,Single-person household,East,A Bit Too Small,0.11135,72,698,0.08800,0.13471
2002,Single-person household,East,Just Right,0.77496,554,698,0.74395,0.80596
2002,Single-person household,East,A Bit Too Large,0.09611,72,698,0.07423,0.11799
2002,Couple without children,West,A Bit Too Small,0.09686,288,2934,0.08615,0.10756
2002,Couple without children,West,Just Right,0.72311,2153,2934,0.70692,0.73930
2002,Couple without children,West,A Bit Too Large,0.15184,433,2934,0.13885,0.16482
2002,Couple without children,West,Much Too Large,0.01833,60,2934,0.01347,0.02318
2002,Couple without children,East,A Bit Too Small,0.08638,84,909,0.06811,0.10466
2002,Couple without children,East,Just Right,0.78212,718,909,0.75527,0.80897
2002,Couple without children,East,A Bit Too Large,0.10931,107,909,0.08901,0.12960
2002,Single parent,West,A Bit Too Small,0.20616,107,507,0.17091,0.24140
2002,Single parent,West,Just Right,0.65729,341,507,0.61594,0.69865
2002,Single parent,West,A Bit Too Large,0.09799,59,507,0.07209,0.12390
2002,Single parent,East,Just Right,0.67781,135,135,0.59868,0.75693
2002,Couple with children,West,Much Too Small,0.03357,107,3409,0.02752,0.03962
2002,Couple with children,West,A Bit Too Small,0.21395,686,3409,0.20018,0.22772
2002,Couple with children,West,Just Right,0.68918,2403,3409,0.67364,0.70472
2002,Couple with children,West,A Bit Too Large,0.05866,213,3409,0.05077,0.06655
2002,Couple with children,East,A Bit Too Small,0.16249,166,939,0.13888,0.18610
2002,Couple with children,East,Just Right,0.75763,722,939,0.73020,0.78505
2002,Couple with children,East,A Bit Too Large,0.05263,51,939,0.03834,0.06693
2002,Multi-generational household,West,Just Right,0.73433,89,89,0.64204,0.82661
2002,Other Combinations,West,Just Right,0.80460,81,81,0.71771,0.89149
2003,Single-person household,West,Much Too Small,0.01973,44,2202,0.01392,0.02554
2003,Single-person household,West,A Bit Too Small,0.11692,246,2202,0.10349,0.13034
2003,Single-person household,West,Just Right,0.69673,1526,2202,0.67753,0.71593
2003,Single-person household,West,A Bit Too Large,0.14310,316,2202,0.12847,0.15773
2003,Single-person household,West,Much Too Large,0.02352,70,2202,0.01719,0.02986
2003,Single-person household,East,A Bit Too Small,0.10880,74,695,0.08563,0.13196
2003,Single-person household,East,Just Right,0.77710,544,695,0.74613,0.80806
2003,Single-person household,East,A Bit Too Large,0.10007,77,695,0.07774,0.12239
2003,Couple without children,West,A Bit Too Small,0.10247,294,2833,0.09130,0.11364
2003,Couple without children,West,Just Right,0.72761,2062,2833,0.71122,0.74401
2003,Couple without children,West,A Bit Too Large,0.14892,439,2833,0.13581,0.16204
2003,Couple without children,West,Much Too Large,0.01298,38,2833,0.00881,0.01715
2003,Couple without children,East,A Bit Too Small,0.08600,77,950,0.06816,0.10383
2003,Couple without children,East,Just Right,0.79436,757,950,0.76865,0.82008
2003,Couple without children,East,A Bit Too Large,0.10732,116,950,0.08762,0.12701
2003,Single parent,West,A Bit Too Small,0.22223,110,501,0.18579,0.25867
2003,Single parent,West,Just Right,0.65929,354,501,0.61775,0.70083
2003,Single parent,West,A Bit Too Large,0.06932,37,501,0.04706,0.09159
2003,Single parent,East,Just Right,0.74497,137,137,0.67171,0.81823
2003,Couple with children,West,Much Too Small,0.02729,86,3206,0.02165,0.03293
2003,Couple with children,West,A Bit Too Small,0.21960,636,3206,0.20527,0.23393
2003,Couple with children,West,Just Right,0.68923,2285,3206,0.67321,0.70526
2003,Couple with children,West,A Bit Too Large,0.05999,199,3206,0.05177,0.06821
2003,Couple with children,East,A Bit Too Small,0.17158,157,882,0.14669,0.19648
2003,Couple with children,East,Just Right,0.72864,671,882,0.69928,0.75800
2003,Couple with children,East,A Bit Too Large,0.06451,54,882,0.04829,0.08073
2003,Multi-generational household,West,Just Right,0.74374,70,70,0.64073,0.84675
2003,Other Combinations,West,Just Right,0.80340,67,67,0.70751,0.89928
2004,Single-person household,West,Much Too Small,0.01408,35,2154,0.00910,0.01906
2004,Single-person household,West,A Bit Too Small,0.11103,225,2154,0.09775,0.12430
2004,Single-person household,West,Just Right,0.71994,1538,2154,0.70098,0.73891
2004,Single-person household,West,A Bit Too Large,0.13268,297,2154,0.11835,0.14701
2004,Single-person household,West,Much Too Large,0.02227,59,2154,0.01604,0.02851
2004,Single-person household,East,A Bit Too Small,0.09735,61,679,0.07503,0.11966
2004,Single-person household,East,Just Right,0.78118,538,679,0.75006,0.81230
2004,Single-person household,East,A Bit Too Large,0.10150,80,679,0.07877,0.12424
2004,Couple without children,West,A Bit Too Small,0.08748,267,2837,0.07708,0.09787
2004,Couple without children,West,Just Right,0.74030,2091,2837,0.72416,0.75644
2004,Couple without children,West,A Bit Too Large,0.15212,440,2837,0.13891,0.16534
2004,Couple without children,West,Much Too Large,0.01027,39,2837,0.00656,0.01399
2004,Couple without children,East,A Bit Too Small,0.10112,89,940,0.08183,0.12040
2004,Couple without children,East,Just Right,0.80240,746,940,0.77693,0.82787
2004,Couple without children,East,A Bit Too Large,0.08776,105,940,0.06966,0.10586
2004,Single parent,West,A Bit Too Small,0.19706,93,487,0.16170,0.23243
2004,Single parent,West,Just Right,0.69114,343,487,0.65006,0.73222
2004,Single parent,West,A Bit Too Large,0.08189,51,487,0.05751,0.10627
2004,Single parent,East,Just Right,0.72343,137,137,0.64826,0.79861
2004,Couple with children,West,Much Too Small,0.02769,75,3051,0.02187,0.03351
2004,Couple with children,West,A Bit Too Small,0.20028,570,3051,0.18607,0.21448
2004,Couple with children,West,Just Right,0.69742,2207,3051,0.68111,0.71372
2004,Couple with children,West,A Bit Too Large,0.06938,199,3051,0.06037,0.07840
2004,Couple with children,East,A Bit Too Small,0.17762,150,857,0.15202,0.20323
2004,Couple with children,East,Just Right,0.72206,648,857,0.69205,0.75207
2004,Couple with children,East,A Bit Too Large,0.06254,59,857,0.04632,0.07876
2004,Multi-generational household,West,Just Right,0.67209,59,59,0.55127,0.79291
2004,Other Combinations,West,Just Right,0.80178,59,59,0.69918,0.90438
2005,Single-person household,West,A Bit Too Small,0.12312,263,2162,0.10926,0.13697
2005,Single-person household,West,Just Right,0.70626,1542,2162,0.68705,0.72546
2005,Single-person household,West,A Bit Too Large,0.13979,307,2162,0.12517,0.15442
2005,Single-person household,West,Much Too Large,0.01964,50,2162,0.01379,0.02549
2005,Single-person household,East,A Bit Too Small,0.09937,69,695,0.07711,0.12162
2005,Single-person household,East,Just Right,0.77945,541,695,0.74861,0.81030
2005,Single-person household,East,A Bit Too Large,0.10112,85,695,0.07869,0.12356
2005,Couple without children,West,A Bit Too Small,0.09567,251,2756,0.08469,0.10665
2005,Couple without children,West,Just Right,0.73292,2043,2756,0.71640,0.74944
2005,Couple without children,West,A Bit Too Large,0.14548,410,2756,0.13231,0.15865
2005,Couple without children,West,Much Too Large,0.01668,52,2756,0.01190,0.02146
2005,Couple without children,East,A Bit Too Small,0.11536,96,897,0.09444,0.13627
2005,Couple without children,East,Just Right,0.78741,714,897,0.76062,0.81420
2005,Couple without children,East,A Bit Too Large,0.08272,87,897,0.06468,0.10076
2005,Single parent,West,A Bit Too Small,0.18513,92,490,0.15070,0.21956
2005,Single parent,West,Just Right,0.69466,350,490,0.65384,0.73548
2005,Single parent,West,A Bit Too Large,0.08072,48,490,0.05657,0.10486
2005,Single parent,East,A Bit Too Small,0.19315,31,168,0.13327,0.25302
2005,Single parent,East,Just Right,0.70207,137,168,0.63271,0.77144
2005,Couple with children,West,Much Too Small,0.01994,54,2854,0.01481,0.02507
2005,Couple with children,West,A Bit Too Small,0.20456,545,2854,0.18976,0.21936
2005,Couple with children,West,Just Right,0.71314,2089,2854,0.69655,0.72974
2005,Couple with children,West,A Bit Too Large,0.05687,166,2854,0.04837,0.06537
2005,Couple with children,East,A Bit Too Small,0.16029,135,813,0.13505,0.18552
2005,Couple with children,East,Just Right,0.75271,624,813,0.72304,0.78239
2005,Couple with children,East,A Bit Too Large,0.05239,54,813,0.03706,0.06771
2005,Multi-generational household,West,Just Right,0.79487,58,58,0.69005,0.89970
2005,Other Combinations,West,Just Right,0.80301,62,62,0.70320,0.90282
2006,Single-person household,West,Much Too Small,0.01579,35,2467,0.01087,0.02071
2006,Single-person household,West,A Bit Too Small,0.11286,271,2467,0.10038,0.12535
2006,Single-person household,West,Just Right,0.69628,1712,2467,0.67813,0.71443
2006,Single-person household,West,A Bit Too Large,0.14916,378,2467,0.13510,0.16322
2006,Single-person household,West,Much Too Large,0.02591,71,2467,0.01964,0.03217
2006,Single-person household,East,A Bit Too Small,0.08273,67,792,0.06353,0.10193
2006,Single-person household,East,Just Right,0.78626,630,792,0.75769,0.81483
2006,Single-person household,East,A Bit Too Large,0.10598,95,792,0.08452,0.12743
2006,Couple without children,West,A Bit Too Small,0.10244,288,3104,0.09177,0.11311
2006,Couple without children,West,Just Right,0.71481,2241,3104,0.69893,0.73070
2006,Couple without children,West,A Bit Too Large,0.15621,516,3104,0.14344,0.16899
2006,Couple without children,West,Much Too Large,0.01715,59,3104,0.01258,0.02172
2006,Couple without children,East,A Bit Too Small,0.09966,97,1011,0.08119,0.11814
2006,Couple without children,East,Just Right,0.78861,791,1011,0.76343,0.81379
2006,Couple without children,East,A Bit Too Large,0.09852,123,1011,0.08014,0.11690
2006,Single parent,West,A Bit Too Small,0.18610,104,567,0.15404,0.21817
2006,Single parent,West,Just Right,0.68817,403,567,0.65000,0.72633
2006,Single parent,West,A Bit Too Large,0.10317,60,567,0.07811,0.12824
2006,Single parent,East,Just Right,0.77628,144,144,0.70798,0.84459
2006,Couple with children,West,Much Too Small,0.03563,79,2960,0.02895,0.04231
2006,Couple with children,West,A Bit Too Small,0.20118,542,2960,0.18673,0.21562
2006,Couple with children,West,Just Right,0.70193,2161,2960,0.68545,0.71841
2006,Couple with children,West,A Bit Too Large,0.05487,178,2960,0.04666,0.06307
2006,Couple with children,East,A Bit Too Small,0.19072,151,829,0.16396,0.21748
2006,Couple with children,East,Just Right,0.72789,624,829,0.69757,0.75820
2006,Couple with children,East,A Bit Too Large,0.05939,54,829,0.04329,0.07549
2006,Multi-generational household,West,Just Right,0.66099,53,53,0.53232,0.78965
2006,Other Combinations,West,Just Right,0.78614,65,65,0.68568,0.88660
2007,Single-person household,West,A Bit Too Small,0.11621,279,2320,0.10316,0.12925
2007,Single-person household,West,Just Right,0.70576,1622,2320,0.68721,0.72431
2007,Single-person household,West,A Bit Too Large,0.14405,354,2320,0.12976,0.15834
2007,Single-person household,West,Much Too Large,0.02411,65,2320,0.01787,0.03036
2007,Single-person household,East,A Bit Too Small,0.10797,74,744,0.08565,0.13028
2007,Single-person household,East,Just Right,0.76399,581,744,0.73345,0.79452
2007,Single-person household,East,A Bit Too Large,0.10873,89,744,0.08635,0.13111
2007,Couple without children,West,A Bit Too Small,0.09588,261,2868,0.08510,0.10665
2007,Couple without children,West,Just Right,0.72103,2069,2868,0.70461,0.73745
2007,Couple without children,West,A Bit Too Large,0.16284,487,2868,0.14932,0.17636
2007,Couple without children,West,Much Too Large,0.01483,51,2868,0.01041,0.01926
2007,Couple without children,East,A Bit Too Small,0.10125,101,969,0.08224,0.12025
2007,Couple without children,East,Just Right,0.79016,759,969,0.76450,0.81581
2007,Couple without children,East,A Bit Too Large,0.09683,109,969,0.07820,0.11546
2007,Single parent,West,A Bit Too Small,0.20043,93,508,0.16559,0.23528
2007,Single parent,West,Just Right,0.69807,367,508,0.65811,0.73803
2007,Single parent,West,A Bit Too Large,0.07166,48,508,0.04921,0.09412
2007,Single parent,East,A Bit Too Small,0.18201,34,163,0.12259,0.24143
2007,Single parent,East,Just Right,0.66839,129,163,0.59589,0.74088
2007,Couple with children,West,Much Too Small,0.02652,54,2780,0.02055,0.03250
2007,Couple with children,West,A Bit Too Small,0.20079,525,2780,0.18589,0.21568
2007,Couple with children,West,Just Right,0.70884,2018,2780,0.69195,0.72573
2007,Couple with children,West,A Bit Too Large,0.06109,183,2780,0.05218,0.06999
2007,Couple with children,East,A Bit Too Small,0.16528,122,765,0.13894,0.19162
2007,Couple with children,East,Just Right,0.75478,594,765,0.72427,0.78528
2007,Couple with children,East,A Bit Too Large,0.05493,49,765,0.03877,0.07109
2007,Multi-generational household,West,Just Right,0.63906,48,48,0.50176,0.77637
2007,Other Combinations,West,Just Right,0.75579,54,54,0.64013,0.87146
2008,Single-person household,West,A Bit Too Small,0.10889,244,2206,0.09589,0.12190
2008,Single-person household,West,Just Right,0.69448,1531,2206,0.67525,0.71370
2008,Single-person household,West,A Bit Too Large,0.15477,353,2206,0.13968,0.16987
2008,Single-person household,West,Much Too Large,0.03089,78,2206,0.02367,0.03812
2008,Single-person household,East,A Bit Too Small,0.11292,70,725,0.08986,0.13597
2008,Single-person household,East,Just Right,0.74802,563,725,0.71640,0.77965
2008,Single-person household,East,A Bit Too Large,0.11930,92,725,0.09569,0.14291
2008,Couple without children,West,A Bit Too Small,0.08656,226,2729,0.07601,0.09712
2008,Couple without children,West,Just Right,0.71773,1968,2729,0.70084,0.73462
2008,Couple without children,West,A Bit Too Large,0.16405,477,2729,0.15015,0.17795
2008,Couple without children,West,Much Too Large,0.02283,58,2729,0.01722,0.02843
2008,Couple without children,East,A Bit Too Small,0.09431,88,960,0.07581,0.11281
2008,Couple without children,East,Just Right,0.79824,762,960,0.77284,0.82364
2008,Couple without children,East,A Bit Too Large,0.09274,110,960,0.07438,0.11109
2008,Single parent,West,A Bit Too Small,0.21588,97,487,0.17930,0.25246
2008,Single parent,West,Just Right,0.67245,346,487,0.63073,0.71418
2008,Single parent,West,A Bit Too Large,0.07767,44,487,0.05387,0.10146
2008,Single parent,East,Just Right,0.72120,124,124,0.64195,0.80044
2008,Couple with children,West,Much Too Small,0.02387,42,2522,0.01791,0.02983
2008,Couple with children,West,A Bit Too Small,0.19504,448,2522,0.17957,0.21051
2008,Couple with children,West,Just Right,0.71009,1866,2522,0.69238,0.72780
2008,Couple with children,West,A Bit Too Large,0.06299,166,2522,0.05351,0.07248
2008,Couple with children,East,A Bit Too Small,0.19157,129,705,0.16250,0.22064
2008,Couple with children,East,Just Right,0.72139,527,705,0.68827,0.75451
2008,Couple with children,East,A Bit Too Large,0.06727,49,705,0.04877,0.08577
2008,Multi-generational household,West,Just Right,0.69543,43,43,0.55625,0.83462
2008,Other Combinations,West,Just Right,0.72339,41,41,0.58476,0.86202
2009,Single-person household,West,A Bit Too Small,0.11527,227,2089,0.10157,0.12896
2009,Single-person household,West,Just Right,0.69727,1474,2089,0.67756,0.71698
2009,Single-person household,West,A Bit Too Large,0.14695,322,2089,0.13177,0.16214
2009,Single-person household,West,Much Too Large,0.02919,66,2089,0.02197,0.03641
2009,Single-person household,East,A Bit Too Small,0.09618,71,702,0.07435,0.11800
2009,Single-person household,East,Just Right,0.76974,539,702,0.73858,0.80091
2009,Single-person household,East,A Bit Too Large,0.11295,92,702,0.08952,0.13638
2009,Couple without children,West,A Bit Too Small,0.10342,232,2575,0.09166,0.11519
2009,Couple without children,West,Just Right,0.68844,1809,2575,0.67055,0.70633
2009,Couple without children,West,A Bit Too Large,0.17847,474,2575,0.16368,0.19326
2009,Couple without children,West,Much Too Large,0.02114,60,2575,0.01558,0.02670
2009,Couple without children,East,A Bit Too Small,0.10501,84,930,0.08530,0.12472
2009,Couple without children,East,Just Right,0.75687,728,930,0.72928,0.78445
2009,Couple without children,East,A Bit Too Large,0.11013,118,930,0.09000,0.13027
2009,Single parent,West,A Bit Too Small,0.18464,80,439,0.14831,0.22098
2009,Single parent,West,Just Right,0.66920,303,439,0.62514,0.71326
2009,Single parent,West,A Bit Too Large,0.09944,56,439,0.07141,0.12747
2009,Single parent,East,A Bit Too Small,0.30142,39,146,0.22673,0.37611
2009,Single parent,East,Just Right,0.56366,107,146,0.48293,0.64438
2009,Couple with children,West,Much Too Small,0.02664,50,2308,0.02007,0.03321
2009,Couple with children,West,A Bit Too Small,0.20268,432,2308,0.18628,0.21909
2009,Couple with children,West,Just Right,0.68103,1643,2308,0.66201,0.70005
2009,Couple with children,West,A Bit Too Large,0.07838,183,2308,0.06741,0.08934
2009,Couple with children,East,A Bit Too Small,0.21109,121,665,0.18005,0.24212
2009,Couple with children,East,Just Right,0.69920,496,665,0.66432,0.73409
2009,Couple with children,East,A Bit Too Large,0.06723,48,665,0.04818,0.08628
2009,Multi-generational household,West,Just Right,0.68127,38,38,0.53112,0.83142
2009,Other Combinations,West,Just Right,0.74007,43,43,0.60742,0.87271
2010,Single-person household,West,A Bit Too Small,0.10919,208,2001,0.09552,0.12286
2010,Single-person household,West,Just Right,0.69073,1379,2001,0.67047,0.71099
2010,Single-person household,West,A Bit Too Large,0.15929,334,2001,0.14325,0.17533
2010,Single-person household,West,Much Too Large,0.03440,80,2001,0.02642,0.04239
2010,Single-person household,East,A Bit Too Small,0.11564,72,659,0.09120,0.14007
2010,Single-person household,East,Just Right,0.73966,501,659,0.70614,0.77319
2010,Single-person household,East,A Bit Too Large,0.11098,86,659,0.08698,0.13498
2010,Couple without children,West,A Bit Too Small,0.09850,215,2456,0.08671,0.11029
2010,Couple without children,West,Just Right,0.70127,1742,2456,0.68316,0.71937
2010,Couple without children,West,A Bit Too Large,0.16828,439,2456,0.15348,0.18308
2010,Couple without children,West,Much Too Large,0.02643,60,2456,0.02008,0.03277
2010,Couple without children,East,A Bit Too Small,0.10666,77,881,0.08627,0.12706
2010,Couple without children,East,Just Right,0.74790,686,881,0.71921,0.77659
2010,Couple without children,East,A Bit Too Large,0.13239,118,881,0.10999,0.15478
2010,Single parent,West,Much Too Small,0.03645,78,1421,0.02671,0.04620
2010,Single parent,West,A Bit Too Small,0.21059,324,1421,0.18938,0.23180
2010,Single parent,West,Just Right,0.65148,897,1421,0.62670,0.67627
2010,Single parent,West,A Bit Too Large,0.08609,122,1421,0.07150,0.10068
2010,Single parent,East,A Bit Too Small,0.23879,101,354,0.19431,0.28327
2010,Single parent,East,Just Right,0.64388,253,354,0.59392,0.69383
2010,Couple with children,West,Much Too Small,0.02480,222,4550,0.02028,0.02932
2010,Couple with children,West,A Bit Too Small,0.20206,1123,4550,0.19039,0.21372
2010,Couple with children,West,Just Right,0.69341,2961,4550,0.68001,0.70681
2010,Couple with children,West,A Bit Too Large,0.07064,244,4550,0.06320,0.07809
2010,Couple with children,East,Much Too Small,0.02523,57,1129,0.01608,0.03438
2010,Couple with children,East,A Bit Too Small,0.21170,281,1129,0.18786,0.23554
2010,Couple with children,East,Just Right,0.68051,736,1129,0.65330,0.70772
2010,Couple with children,East,A Bit Too Large,0.06836,55,1129,0.05363,0.08309
2010,Multi-generational household,West,Just Right,0.63626,48,48,0.49872,0.77380
2010,Other Combinations,West,Just Right,0.66306,38,38,0.51075,0.81536
2011,Single-person household,West,A Bit Too Small,0.11083,260,2622,0.09882,0.12285
2011,Single-person household,West,Just Right,0.70153,1852,2622,0.68401,0.71905
2011,Single-person household,West,A Bit Too Large,0.14811,415,2622,0.13451,0.16171
2011,Single-person household,West,Much Too Large,0.03244,95,2622,0.02566,0.03923
2011,Single-person household,East,A Bit Too Small,0.10946,95,868,0.08868,0.13024
2011,Single-person household,East,Just Right,0.74647,655,868,0.71751,0.77542
2011,Single-person household,East,A Bit Too Large,0.11968,118,868,0.09808,0.14129
2011,Couple without children,West,A Bit Too Small,0.09775,283,3255,0.08754,0.10795
2011,Couple without children,West,Just Right,0.68826,2274,3255,0.67234,0.70418
2011,Couple without children,West,A Bit Too Large,0.18101,624,3255,0.16778,0.19424
2011,Couple without children,West,Much Too Large,0.02426,74,3255,0.01898,0.02955
2011,Couple without children,East,A Bit Too Small,0.10511,99,1060,0.08664,0.12359
2011,Couple without children,East,Just Right,0.75486,833,1060,0.72896,0.78077
2011,Couple without children,East,A Bit Too Large,0.11982,128,1060,0.10026,0.13938
2011,Single parent,West,Much Too Small,0.03384,75,1761,0.02539,0.04228
2011,Single parent,West,A Bit Too Small,0.19157,379,1761,0.17318,0.20995
2011,Single parent,West,Just Right,0.66604,1167,1761,0.64400,0.68807
2011,Single parent,West,A Bit Too Large,0.09392,140,1761,0.08029,0.10755
2011,Single parent,East,A Bit Too Small,0.21754,124,468,0.18012,0.25496
2011,Single parent,East,Just Right,0.68272,344,468,0.64051,0.72493
2011,Couple with children,West,Much Too Small,0.02576,203,4952,0.02135,0.03017
2011,Couple with children,West,A Bit Too Small,0.19192,1146,4952,0.18095,0.20289
2011,Couple with children,West,Just Right,0.68456,3279,4952,0.67162,0.69751
2011,Couple with children,West,A Bit Too Large,0.08908,324,4952,0.08115,0.09702
2011,Couple with children,East,Much Too Small,0.01935,39,1184,0.01150,0.02720
2011,Couple with children,East,A Bit Too Small,0.20318,283,1184,0.18025,0.22611
2011,Couple with children,East,Just Right,0.70365,795,1184,0.67762,0.72967
2011,Couple with children,East,A Bit Too Large,0.07343,67,1184,0.05857,0.08830
2011,Multi-generational household,West,Just Right,0.69117,67,67,0.57971,0.80264
2011,Other Combinations,West,Just Right,0.70291,60,60,0.58631,0.81952
2012,Single-person household,West,A Bit Too Small,0.09815,268,2722,0.08697,0.10932
2012,Single-person household,West,Just Right,0.71398,1940,2722,0.69700,0.73096
2012,Single-person household,West,A Bit Too Large,0.14667,420,2722,0.13338,0.15997
2012,Single-person household,West,Much Too Large,0.03062,94,2722,0.02415,0.03710
2012,Single-person household,East,A Bit Too Small,0.11369,98,906,0.09301,0.13438
2012,Single-person household,East,Just Right,0.73523,675,906,0.70649,0.76398
2012,Single-person household,East,A Bit Too Large,0.12578,133,906,0.10418,0.14738
2012,Couple without children,West,A Bit Too Small,0.08322,252,3298,0.07379,0.09265
2012,Couple without children,West,Just Right,0.69615,2292,3298,0.68045,0.71185
2012,Couple without children,West,A Bit Too Large,0.18541,658,3298,0.17214,0.19867
2012,Couple without children,West,Much Too Large,0.02616,96,3298,0.02071,0.03161
2012,Couple without children,East,A Bit Too Small,0.09722,95,1096,0.07968,0.11477
2012,Couple without children,East,Just Right,0.75950,863,1096,0.73418,0.78481
2012,Couple without children,East,A Bit Too Large,0.12661,138,1096,0.10691,0.14630
2012,Single parent,West,Much Too Small,0.04012,48,1656,0.03066,0.04957
2012,Single parent,West,A Bit Too Small,0.18861,362,1656,0.16976,0.20745
2012,Single parent,West,Just Right,0.67048,1111,1656,0.64784,0.69313
2012,Single parent,West,A Bit Too Large,0.08847,135,1656,0.07479,0.10215
2012,Single parent,East,A Bit Too Small,0.20592,100,481,0.16974,0.24209
2012,Single parent,East,Just Right,0.68928,349,481,0.64788,0.73068
2012,Single parent,East,A Bit Too Large,0.07301,32,481,0.04974,0.09629
2012,Couple with children,West,Much Too Small,0.02693,176,4640,0.02227,0.03159
2012,Couple with children,West,A Bit Too Small,0.18748,1008,4640,0.17625,0.19871
2012,Couple with children,West,Just Right,0.69269,3184,4640,0.67941,0.70596
2012,Couple with children,West,A Bit Too Large,0.08213,272,4640,0.07423,0.09003
2012,Couple with children,East,Much Too Small,0.02313,39,1096,0.01422,0.03203
2012,Couple with children,East,A Bit Too Small,0.19252,236,1096,0.16917,0.21588
2012,Couple with children,East,Just Right,0.70779,754,1096,0.68085,0.73472
2012,Couple with children,East,A Bit Too Large,0.07292,67,1096,0.05752,0.08832
2012,Multi-generational household,West,Just Right,0.68402,61,61,0.56638,0.80165
2012,Other Combinations,West,Just Right,0.68129,53,53,0.55463,0.80794
2013,Single-person household,West,Much Too Small,0.01204,40,2937,0.00809,0.01598
2013,Single-person household,West,A Bit Too Small,0.09905,309,2937,0.08824,0.10985
2013,Single-person household,West,Just Right,0.70684,2056,2937,0.69037,0.72330
2013,Single-person household,West,A Bit Too Large,0.15310,447,2937,0.14007,0.16612
2013,Single-person household,West,Much Too Large,0.02898,85,2937,0.02291,0.03505
2013,Single-person household,East,A Bit Too Small,0.11851,102,878,0.09712,0.13990
2013,Single-person household,East,Just Right,0.74133,661,878,0.71235,0.77032
2013,Single-person household,East,A Bit Too Large,0.11511,115,878,0.09399,0.13624
2013,Couple without children,West,A Bit Too Small,0.08231,299,3500,0.07320,0.09142
2013,Couple without children,West,Just Right,0.69844,2481,3500,0.68323,0.71365
2013,Couple without children,West,A Bit Too Large,0.18101,621,3500,0.16825,0.19376
2013,Couple without children,West,Much Too Large,0.03167,99,3500,0.02587,0.03748
2013,Couple without children,East,A Bit Too Small,0.09281,97,1089,0.07557,0.11005
2013,Couple without children,East,Just Right,0.76946,862,1089,0.74443,0.79448
2013,Couple without children,East,A Bit Too Large,0.12149,130,1089,0.10208,0.14090
2013,Single parent,West,Much Too Small,0.02519,57,1755,0.01786,0.03252
2013,Single parent,West,A Bit Too Small,0.18563,370,1755,0.16743,0.20382
2013,Single parent,West,Just Right,0.68686,1187,1755,0.66516,0.70857
2013,Single parent,West,A Bit Too Large,0.09477,141,1755,0.08106,0.10848
2013,Single parent,East,A Bit Too Small,0.20505,99,429,0.16680,0.24330
2013,Single parent,East,Just Right,0.69544,330,429,0.65184,0.73904
2013,Couple with children,West,Much Too Small,0.03316,266,5518,0.02843,0.03788
2013,Couple with children,West,A Bit Too Small,0.18301,1241,5518,0.17281,0.19322
