year,regtyp,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2012,Rural regions,East,1876,36.46528,36.08515,36.84541,32.00000,40.00000,40.00000,20.00000,52.00000,40.0,40.00000,40.00000
2013,Urban regions,West,6759,33.74957,33.49466,34.00448,30.00000,37.50000,40.00000,15.00000,55.00000,37.5,36.00000,38.00000
2013,Urban regions,East,920,35.49614,34.94212,36.05015,30.44053,38.00000,40.00000,16.10132,54.33921,38.0,37.00000,40.00000
2013,Rural regions,West,2541,33.71739,33.30415,34.13063,30.00000,37.50000,40.00000,15.00000,55.00000,37.5,36.00000,38.00000
2013,Rural regions,East,1746,36.03315,35.61225,36.45405,32.00000,40.00000,40.00000,20.00000,52.00000,40.0,40.00000,40.00000
2014,Urban regions,West,7830,33.45819,33.22692,33.68947,30.00000,36.00000,40.00000,15.00000,55.00000,36.0,35.00000,37.00000
2014,Urban regions,East,1029,35.15370,34.66898,35.63841,30.00000,36.47635,40.00000,15.00000,55.00000,36.0,35.00000,38.00000
2014,Rural regions,West,3126,33.32688,32.95918,33.69458,30.00000,37.00000,40.00000,15.00000,55.00000,37.0,35.00000,38.00000
2014,Rural regions,East,1938,36.12079,35.76112,36.48047,32.69013,40.00000,40.00000,21.72533,50.96480,40.0,39.00000,40.00000
2015,Urban regions,West,9353,33.78316,33.56646,33.99986,30.00000,37.50000,40.00000,15.00000,55.00000,37.5,37.00000,38.00000
2015,Urban regions,East,1099,35.45979,34.95696,35.96263,30.00000,39.00000,40.00000,15.00000,55.00000,39.0,37.00000,40.00000
2015,Rural regions,West,3617,33.50095,33.16164,33.84026,30.00000,37.50000,40.00000,15.00000,55.00000,37.5,36.00000,38.00000
2015,Rural regions,East,1903,35.71617,35.34352,36.08882,32.00000,40.00000,40.00000,20.00000,52.00000,40.0,38.00000,40.00000
2016,Urban regions,West,8582,33.40320,33.18409,33.62231,30.00000,36.00000,40.00000,15.00000,55.00000,36.0,35.00000,37.00000
2016,Urban regions,East,1022,34.46136,33.93220,34.99053,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,35.00000,38.00000
2016,Rural regions,West,3302,33.20730,32.85326,33.56133,30.00000,37.00000,40.00000,15.00000,55.00000,37.0,35.00000,37.51250
2016,Rural regions,East,1837,35.43533,35.07471,35.79595,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,40.00000
2017,Urban regions,West,9677,33.39016,33.17818,33.60214,30.00000,35.00000,40.00000,15.00000,55.00000,35.0,35.00000,36.00000
2017,Urban regions,East,1189,34.39897,33.90550,34.89244,30.00000,36.00000,40.00000,15.00000,55.00000,36.0,35.00000,38.00000
2017,Rural regions,West,3791,32.67221,32.32910,33.01532,25.00000,35.00000,40.00000,2.50000,62.50000,35.0,35.00000,36.00000
2017,Rural regions,East,2134,35.28033,34.91858,35.64209,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,37.50000,38.51250
2018,Urban regions,West,9635,32.89138,32.68321,33.09954,30.00000,35.00000,40.00000,15.00000,55.00000,35.0,35.00000,35.00000
2018,Urban regions,East,1207,33.55712,33.05990,34.05434,30.00000,35.00000,40.00000,15.00000,55.00000,35.0,35.00000,35.00000
2018,Rural regions,West,3613,32.67631,32.33545,33.01717,28.00000,35.00000,40.00000,10.00000,58.00000,35.0,35.00000,35.00000
2018,Rural regions,East,2104,34.09596,33.69694,34.49499,30.00000,35.00000,40.00000,15.00000,55.00000,35.0,35.00000,37.00000
2019,Urban regions,West,9846,33.38471,33.18223,33.58718,30.00000,35.00000,40.00000,15.00000,55.00000,35.0,35.00000,35.00000
2019,Urban regions,East,1245,33.75227,33.28007,34.22447,30.00000,35.00000,40.00000,15.00000,55.00000,35.0,35.00000,36.00000
2019,Rural regions,West,3605,32.70404,32.36335,33.04473,30.00000,35.00000,40.00000,15.00000,55.00000,35.0,35.00000,35.00000
2019,Rural regions,East,2173,35.22982,34.86702,35.59262,30.00000,37.70340,40.00000,15.00000,55.00000,38.0,35.00000,38.00000
2020,Urban regions,West,10444,32.80215,32.60816,32.99613,30.00000,35.00000,40.00000,15.00000,55.00000,35.0,35.00000,35.00000
2020,Urban regions,East,1248,33.98850,33.53557,34.44143,30.00000,35.00000,40.00000,15.00000,55.00000,35.0,35.00000,36.00000
2020,Rural regions,West,3635,32.41177,32.07021,32.75334,29.98821,35.00000,40.00000,14.97053,55.01768,35.0,35.00000,35.00000
2020,Rural regions,East,2054,34.17083,33.77938,34.56227,30.00000,35.00000,40.00000,15.00000,55.00000,35.0,35.00000,36.00000
2021,Urban regions,West,6954,31.98066,31.72432,32.23700,30.00000,35.00000,40.00000,15.00000,55.00000,35.0,35.00000,35.00000
2021,Urban regions,East,899,32.64192,32.08171,33.20213,30.00000,35.00000,40.00000,15.00000,55.00000,35.0,32.50000,35.00000
2021,Rural regions,West,2376,32.15853,31.73427,32.58278,28.00000,35.00000,40.00000,10.00000,58.00000,35.0,35.00000,35.00000
2021,Rural regions,East,1332,34.07398,33.59508,34.55288,30.00000,35.00000,40.00000,15.00000,55.00000,35.0,35.00000,35.00000
